      JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC
1950 -0.44 -0.92 -0.47  0.25 -0.03 -1.01 -1.18 -1.14 -0.91 -0.62 -0.50 -0.45
1951 -0.75 -0.01  0.16 -0.04  0.24 -0.93 -1.26 -1.23 -0.40 -0.36  0.07 -0.37
1952 -0.63 -0.34 -0.08  0.56  0.03 -0.82 -1.63 -1.45 -1.01 -0.82 -0.22 -0.26
1953 -0.33 -0.37  0.08  0.06  0.79 -0.57 -1.11 -0.89 -0.38 -0.36 -0.02 -0.30
1954 -1.09 -0.51 -0.18  0.67  0.32 -0.91 -1.67 -1.23 -1.28 -1.06 -0.52 -0.44
1955 -0.97 -0.73 -0.38  0.32 -0.43 -1.14 -1.33 -0.95 -1.23 -0.98 -0.19 -0.11
1956 -0.41 -0.30 -0.39 -0.07 -0.34 -1.18 -1.78 -1.26 -1.15 -0.89 -0.71 -0.57
1957 -1.11 -0.88 -0.28  0.28  0.10 -1.16 -1.55 -1.32 -0.72 -0.25 -0.88 -0.66
1958 -1.04 -0.71 -0.34 -0.23 -0.12 -1.42 -2.05 -1.57 -1.46 -0.98 -0.53 -0.34
1959 -0.16 -0.63 -0.56  0.02 -0.69 -1.52 -1.76 -1.63 -0.97 -0.80 -0.72 -0.90
1960 -0.97 -0.31 -0.42 -0.35 -0.73 -1.19 -1.64 -1.66 -0.95 -1.14 -1.12 -1.04
1961 -0.74 -0.53  0.19 -0.02 -0.34 -0.51 -0.32 -0.16  0.30  1.18  0.35 -0.12
1962 -0.05  0.09  0.12  0.57 -0.23 -0.94 -1.14 -0.97 -0.15 -0.44 -0.34 -0.40
1963 -0.47  0.11  0.13  0.43 -0.27 -0.98 -0.63 -0.14 -0.09  0.62  0.53 -0.31
1964 -0.95 -1.18 -0.23  0.06 -0.34 -0.93 -1.48 -1.61 -1.19 -0.73 -0.22 -0.52
1965 -0.55 -0.68 -0.01  0.16 -0.17 -1.19 -1.35 -0.93 -0.74 -0.14 -0.11 -0.80
1966 -0.67 -0.60 -0.20  0.02 -0.37 -0.60 -1.11 -0.52 -0.29 -0.45 -0.74 -0.51
1967 -1.00 -0.84  0.19  0.32  0.00 -0.52 -0.57 -0.54  0.02  0.51  0.22 -0.33
1968 -0.54 -0.22 -0.48  0.34  0.08 -0.55 -1.15 -1.07 -1.01 -0.36 -0.31 -0.37
1969 -0.82 -0.67 -0.12  0.30  0.08 -1.11 -1.46 -1.21 -0.76  0.10  0.02 -0.27
1970 -0.17 -0.03  0.27  0.75  0.60 -0.87 -1.26 -1.01 -0.75 -0.39 -0.49 -0.34
1971 -0.52 -0.37  0.21  0.66  0.09 -0.93 -1.30 -1.30 -0.91 -0.80 -0.17 -0.16
1972 -0.14 -0.63 -0.01  0.44  0.52  0.07 -0.45 -0.18  0.40  0.30  0.67 -0.10
1973 -0.46 -0.65  0.10  0.24  0.26 -0.77 -1.16 -0.90 -0.81 -0.38 -0.21 -0.61
1974 -0.37 -0.06  0.32  0.25 -0.03 -0.43 -1.32 -1.15 -1.01 -0.57 -0.56 -0.43
1975 -1.07 -0.59 -0.44  0.33  0.16 -0.62 -0.72 -1.19 -1.22 -1.35 -0.48 -0.26
