      JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC
1950  0.32 -0.32 -0.34  0.00 -0.05 -0.19  0.03 -0.17 -0.43 -0.51 -0.36 -0.04
1951  0.01  0.58  0.29 -0.30  0.23 -0.11 -0.06 -0.26  0.08 -0.25  0.23  0.03
1952  0.13  0.25  0.05  0.30  0.02  0.01 -0.42 -0.48 -0.53 -0.71 -0.07  0.15
1953  0.43  0.22  0.21 -0.20  0.77  0.26  0.09  0.08  0.10 -0.25  0.13  0.11
1954 -0.33  0.08 -0.05  0.41  0.29 -0.09 -0.46 -0.26 -0.80 -0.96 -0.37 -0.03
1955 -0.21 -0.14 -0.25  0.06 -0.45 -0.32 -0.12  0.02 -0.74 -0.86 -0.04  0.30
1956  0.34  0.29 -0.26 -0.34 -0.36 -0.37 -0.57 -0.29 -0.68 -0.78 -0.55 -0.16
1957 -0.35 -0.29 -0.15  0.03  0.08 -0.35 -0.34 -0.35 -0.24 -0.14 -0.72 -0.25
1958 -0.28 -0.12 -0.21 -0.49 -0.14 -0.61 -0.84 -0.60 -0.98 -0.87 -0.38  0.07
1959  0.61 -0.04 -0.43 -0.25 -0.71 -0.70 -0.55 -0.65 -0.49 -0.69 -0.57 -0.50
1960 -0.22  0.28 -0.29 -0.61 -0.75 -0.37 -0.42 -0.69 -0.47 -1.03 -0.97 -0.63
1961  0.03  0.06  0.33 -0.28 -0.36  0.31  0.89  0.81  0.79  1.29  0.50  0.29
1962  0.72  0.68  0.25  0.31 -0.24 -0.13  0.07 -0.01  0.33 -0.33 -0.19  0.01
1963  0.30  0.70  0.26  0.18 -0.29 -0.16  0.58  0.83  0.40  0.73  0.68  0.11
1964 -0.19 -0.58 -0.09 -0.20 -0.36 -0.11 -0.28 -0.65 -0.71 -0.62 -0.07 -0.11
1965  0.21 -0.09  0.12 -0.10 -0.20 -0.36 -0.14  0.04 -0.26 -0.03  0.04 -0.40
1966  0.09  0.00 -0.06 -0.24 -0.39  0.22  0.10  0.44  0.20 -0.34 -0.59 -0.10
1967 -0.24 -0.25  0.33  0.06 -0.02  0.30  0.63  0.43  0.50  0.62  0.37  0.07
1968  0.22  0.37 -0.35  0.08  0.05  0.27  0.06 -0.10 -0.53 -0.25 -0.15  0.03
1969 -0.06 -0.08  0.01  0.04  0.05 -0.29 -0.25 -0.24 -0.28  0.21  0.17  0.13
1970  0.58  0.56  0.41  0.48  0.58 -0.04 -0.05 -0.04 -0.27 -0.28 -0.34  0.06
1971  0.24  0.22  0.34  0.41  0.07 -0.11 -0.09 -0.32 -0.43 -0.69 -0.03  0.25
1972  0.62 -0.04  0.12  0.18  0.50  0.89  0.76  0.79  0.88  0.41  0.83  0.31
1973  0.30 -0.06  0.23 -0.02  0.24  0.04  0.06  0.08 -0.33 -0.27 -0.06 -0.20
1974  0.40  0.52  0.46 -0.01 -0.04  0.39 -0.11 -0.18 -0.53 -0.46 -0.41 -0.02
1975 -0.30  0.00 -0.31  0.06  0.14  0.20  0.50 -0.21 -0.73 -1.24 -0.33  0.15
1976 -0.07  0.15  0.09  0.09  0.07  0.51  0.79  0.18 -0.04 -0.46 -0.32  0.26
1977  0.11 -0.02  0.23 -0.07 -0.30  0.03  0.15  0.48  0.20  0.37  0.03  0.22
1978 -0.49 -0.22 -0.36 -0.12 -0.14  0.24  0.21 -0.16  0.21 -0.10 -0.25 -0.22
