ID,Lat,Lon,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HAHAYA INT. AIRPORT,-11.533333,43.266667,1981,190.4152069,139.4174805,262.2350769,64.83270264,304.4279175,453.130188,56.07318497,56.63741684,42.7468338,148.0929108,56.3387146,260.361145
HAHAYA INT. AIRPORT,-11.533333,43.266667,1982,248.3548737,159.2511139,106.9575882,206.6735229,213.269165,276.693573,115.6259689,106.2831116,51.05542374,162.6990967,144.3583679,249.5668945
HAHAYA INT. AIRPORT,-11.533333,43.266667,1983,448.0493164,161.6012726,429.6294556,158.3048706,333.7451477,350.5816956,114.1552734,55.8527298,80.46392059,149.0947113,23.27269363,184.4351196
HAHAYA INT. AIRPORT,-11.533333,43.266667,1984,497.4035645,176.8399963,378.6090393,97.81556702,152.163269,276.7308655,90.39128876,72.12828827,35.85654068,54.7771225,39.39658737,176.1507263
HAHAYA INT. AIRPORT,-11.533333,43.266667,1985,112.1465836,637.1169434,187.6334839,195.865448,128.7121735,234.8118286,214.2530823,87.07324982,50.86247635,96.46990204,103.3135147,97.03793335
HAHAYA INT. AIRPORT,-11.533333,43.266667,1986,462.0992432,130.3971558,238.115097,129.8570099,392.9512939,166.0777893,153.0070648,47.616436,45.04849243,133.6088867,107.7901917,232.2059174
HAHAYA INT. AIRPORT,-11.533333,43.266667,1987,345.3096313,280.6960449,147.1121216,127.8731308,147.7546844,209.1543121,128.9417267,57.58682251,75.72694397,239.2124634,102.5299606,46.8044281
HAHAYA INT. AIRPORT,-11.533333,43.266667,1988,419.401886,134.7355957,143.9542999,212.0770721,194.3172607,181.4819336,103.7250671,92.09996033,43.29512787,94.82833099,79.0549469,166.0017242
HAHAYA INT. AIRPORT,-11.533333,43.266667,1989,816.303894,153.8379059,370.6636047,217.0381775,337.9817505,270.5078125,204.846283,115.7015305,57.58404541,51.39969635,22.36931992,393.0656128
HAHAYA INT. AIRPORT,-11.533333,43.266667,1990,267.8876648,346.953125,190.9615784,679.9424438,228.9430695,192.4737244,268.7966614,67.15597534,61.68679047,117.9649963,86.58483124,195.3208466
HAHAYA INT. AIRPORT,-11.533333,43.266667,1991,395.1797485,153.6441498,598.8245239,396.5545654,339.0856018,197.183136,207.2657776,58.20264816,62.22140121,120.2704391,39.5707283,456.6043091
HAHAYA INT. AIRPORT,-11.533333,43.266667,1992,80.8509903,335.2672424,147.4962769,328.7595215,450.6271057,301.5718079,189.039505,87.26194,55.0825882,97.07865906,65.25939178,70.44073486
HAHAYA INT. AIRPORT,-11.533333,43.266667,1993,649.5845337,362.9411926,426.621582,182.7554626,289.4196167,187.7483215,190.3421783,59.00088882,40.42490005,51.05573273,28.99096489,46.11697006
HAHAYA INT. AIRPORT,-11.533333,43.266667,1994,434.208252,528.0604248,309.218811,209.1159363,93.84131622,185.6739349,105.6344299,91.18885803,48.40701294,134.7204132,12.50658512,224.180481
HAHAYA INT. AIRPORT,-11.533333,43.266667,1995,278.2411499,276.937561,484.7520142,159.7906799,419.2288513,151.4195404,95.73887634,106.692894,62.14718628,135.5355377,15.26487732,103.1037369
HAHAYA INT. AIRPORT,-11.533333,43.266667,1996,613.9036255,574.3012085,303.3248901,154.304184,274.8416443,177.1728668,189.6454773,58.57097626,46.44983673,119.011673,41.50224304,100.5259247
HAHAYA INT. AIRPORT,-11.533333,43.266667,1997,217.9727631,249.8684845,389.9487305,221.1796265,233.7869415,424.3830261,220.0916901,52.29721069,55.45830917,169.24646,31.16814995,238.0223236
HAHAYA INT. AIRPORT,-11.533333,43.266667,1998,1110.300659,286.1833801,106.5633087,366.8821411,149.767334,194.0254822,92.26422119,69.17544556,94.81771088,110.5383453,19.22093773,82.88481903
HAHAYA INT. AIRPORT,-11.533333,43.266667,1999,245.5131531,223.8729858,368.0775452,186.8070526,212.0089264,342.2138672,151.9018097,60.01514816,83.28133392,60.48689651,62.8680191,149.4729919
HAHAYA INT. AIRPORT,-11.533333,43.266667,2000,169.6419373,102.9127274,415.6367188,139.3230286,271.396698,424.1936646,313.2770081,50.90192032,72.88806152,132.4394684,124.6603317,214.3283234
HAHAYA INT. AIRPORT,-11.533333,43.266667,2001,588.0981445,227.776413,430.4984131,132.5197601,139.8413544,146.5538635,115.3869934,73.81695557,41.64004135,207.0713043,8.582965851,80.7467041
HAHAYA INT. AIRPORT,-11.533333,43.266667,2002,665.3817749,360.1074829,243.7924347,157.6928406,123.4997101,130.5287476,108.1540375,62.21689987,101.8252029,47.40470886,107.5756607,218.7451172
HAHAYA INT. AIRPORT,-11.533333,43.266667,2003,245.467865,320.2139282,210.2986145,274.1700439,215.1941376,160.7900238,79.20300293,61.20641327,38.5371933,66.81945038,27.30780029,116.5060272
HAHAYA INT. AIRPORT,-11.533333,43.266667,2004,460.4291687,225.748703,417.602478,197.9140015,102.1511765,188.4968872,64.08128357,56.82964706,43.95188522,121.0775604,53.3519516,232.1553955
HAHAYA INT. AIRPORT,-11.533333,43.266667,2005,338.8069458,222.0045776,180.2206421,119.7537766,283.4429016,107.9581146,72.73957825,95.69841003,45.18930054,84.18154907,7.231365204,86.98876953
HAHAYA INT. AIRPORT,-11.533333,43.266667,2006,339.0910034,227.634552,382.4623108,252.5254669,352.0946655,110.2269897,206.3583221,63.76657104,39.15209198,136.3434601,192.5279846,298.5842285
HAHAYA INT. AIRPORT,-11.533333,43.266667,2007,104.012352,409.1974182,220.522583,256.187439,130.0763397,156.1295013,123.9336548,47.03525162,62.60486603,140.4037476,17.36022758,45.82457352
HAHAYA INT. AIRPORT,-11.533333,43.266667,2008,695.3414307,499.8308411,211.2060089,129.6177216,78.82566071,220.1889343,72.67967224,38.17550659,55.28374481,147.2107544,51.28295898,250.3708496
HAHAYA INT. AIRPORT,-11.533333,43.266667,2009,202.709198,289.5229492,269.9988098,234.1152954,68.61400604,112.9919128,73.19749451,109.4963379,47.53215408,142.14505,60.59379196,82.39705658
HAHAYA INT. AIRPORT,-11.533333,43.266667,2010,514.1456299,242.4335632,209.2335968,305.5362549,240.4357605,121.6434631,58.16766357,52.23084641,34.80580902,75.62139893,13.28411388,96.8697052
HAHAYA INT. AIRPORT,-11.533333,43.266667,2011,260.6551514,518.9022217,450.3360291,256.2189636,262.6551514,189.7073822,70.05250549,102.5602646,83.90028381,167.631485,41.54098511,234.1803436
HAHAYA INT. AIRPORT,-11.533333,43.266667,2012,556.9876709,245.3054962,467.3556519,850.7819214,394.5503845,183.9178925,128.4448242,20.37835121,76.86624146,164.1749725,56.99702454,102.7942734
HAHAYA INT. AIRPORT,-11.533333,43.266667,2013,628.942749,256.8370361,486.4242859,225.8161774,153.018692,477.7255859,253.4560394,75.08705902,96.88986206,192.0144196,92.74963379,529.4342041
HAHAYA INT. AIRPORT,-11.533333,43.266667,2014,532.9642944,576.5205688,500.5073853,176.6012421,97.0770874,490.4341431,230.4668884,51.72687149,30.44922638,53.6184082,80.40898895,150.3131409
HAHAYA INT. AIRPORT,-11.533333,43.266667,2015,523.4020386,236.4912872,490.4751892,161.4034119,245.285141,351.3826294,345.5796509,33.4156456,49.06653214,59.80185318,118.0750885,268.0463562
HAHAYA INT. AIRPORT,-11.533333,43.266667,2016,751.2855835,480.7890015,276.7531433,482.8931885,103.9316711,594.3883057,200.1517029,67.6749115,43.21845245,84.45347595,20.91533279,53.04694366
HAHAYA INT. AIRPORT,-11.533333,43.266667,2017,164.6412964,361.1191711,372.4241943,387.0441895,139.0046692,905.9793091,334.0419922,41.83478928,50.96676254,100.2119751,68.6373291,599.6812744
HAHAYA INT. AIRPORT,-11.533333,43.266667,2018,731.09021,153.3659973,658.1738281,337.8605957,80.29536438,487.8516846,548.0293579,85.09887695,130.1448975,44.31780624,49.90678024,125.6789322
HAHAYA INT. AIRPORT,-11.533333,43.266667,2019,318.7634888,276.2337952,263.4989014,491.6926575,333.9826355,647.7384644,204.6431274,36.21512604,46.2718277,86.22029877,117.5198059,435.6454773
HAHAYA INT. AIRPORT,-11.533333,43.266667,2020,553.7392578,277.4607239,246.6642609,86.44808197,63.93466949,1054.041016,,,,,,
