ID,Lat,Lon,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1981,4.996155262,23.58073425,16.29543304,5.907194138,2.810055494,1.765709758,0.627001047,0.779420495,2.836919308,2.802209854,3.261168957,3.757680893
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1982,6.547843456,26.38231659,13.24493694,5.725675106,2.365933418,1.931436539,0.801407039,0.666519523,3.691224575,4.394544125,3.774524212,11.69334984
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1983,14.11205482,12.26892853,16.62944603,23.92353821,2.66430831,2.526413202,0.742417276,0.665194809,3.225700378,4.657447338,14.13036823,13.9778986
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1984,3.47784543,18.37829208,48.62919617,10.91765499,3.772017479,1.576179385,0.778277636,0.578672588,3.147527933,7.361377716,5.643867016,5.226371288
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1985,16.21052361,44.46833801,36.95171738,8.08036232,2.385854959,1.564972997,0.743206024,0.659147024,3.414747715,8.112183571,10.31087017,21.79812622
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1986,25.9511013,16.12534523,39.12841797,19.5895195,3.039706945,1.52419579,0.698114038,0.646664321,2.959609032,4.982100487,6.042889595,4.480957031
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1987,5.295303345,44.13585663,15.04901218,12.06792355,4.148563862,1.512506723,0.804652452,0.645794153,3.611770868,5.741437912,14.27795982,4.77758646
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1988,24.25600624,40.13988495,55.84056473,17.25935555,2.720044374,1.444519877,0.69659555,0.63794899,2.96757865,3.434600353,8.025601387,17.5508976
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1989,33.38290787,60.98733139,16.4719429,22.96452713,4.02419281,1.431300998,0.737649202,0.643584013,2.976561546,3.480890274,4.248505592,5.381667137
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1990,12.38795471,19.35565376,19.6265049,19.90650558,2.280765057,1.637769818,0.701854229,0.642516315,2.942659855,3.214240074,3.646849155,7.756040573
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1991,23.47513962,34.28619385,23.56348038,6.072302818,3.354007006,1.643045545,0.734853745,0.640042543,9.453783989,2.850405216,14.89668941,12.61929703
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1992,3.141143322,14.48584461,21.07134628,5.1221838,2.280771732,1.436760902,0.718447626,0.642516255,2.987383842,3.861999989,5.761609077,4.570243835
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1993,18.49068642,37.57646942,23.43455124,27.01224518,3.238131523,1.512300014,0.73134172,0.660497069,2.933155298,4.229778767,18.69182014,6.213693619
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1994,23.5055809,40.25629425,10.30643845,10.342062,3.380121708,2.399489164,0.702858925,0.642515421,2.942708492,2.428649664,6.437383652,7.769049168
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1995,6.956826687,35.54162979,19.81165314,3.668390274,6.426064014,1.502537847,0.707107782,0.679529369,3.476722002,2.977473736,5.083673954,12.90281868
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1996,13.83641911,19.35254097,9.220724106,10.84406757,4.636330605,1.502148271,1.058983326,0.678357363,3.102739573,6.607320786,22.58280563,13.57400131
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1997,15.58093929,13.62819672,21.04861641,6.057574272,3.668033123,1.592558503,0.699602485,0.692136884,3.160249949,5.910162449,3.754906178,7.328071594
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1998,17.39347076,29.09799576,26.49812508,3.602436781,3.699637413,1.492775917,0.728675008,0.828844786,6.831092358,3.521834612,3.80024147,7.82536459
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,1999,22.48860931,24.58319855,27.54441833,5.865106106,5.150655746,2.40103507,0.755194664,0.675440133,3.38349247,3.562428474,11.61884785,23.17333412
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2000,18.01175117,71.17881775,35.69914246,5.976541519,2.231842041,1.489089131,0.682857275,0.675382257,3.197117567,3.732709646,3.736063004,4.884300232
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2001,12.53386402,22.38246536,16.55605888,42.01616669,2.365213633,1.610032678,0.916383147,0.676044047,2.983791351,3.154196262,8.317328453,15.17319107
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2002,8.980260849,36.77449417,31.41693878,24.46041489,3.471032143,1.958370209,0.749072313,0.676044166,3.315268755,4.61332655,4.978553772,5.872222424
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2003,13.67800045,20.43288803,10.12180138,8.3953228,2.359323025,1.609885335,0.749072313,0.676044941,4.438382149,6.562721729,9.423589706,5.879398823
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2004,19.84724617,23.55651474,12.87359238,22.07485962,5.023194313,1.949881673,0.817457557,0.731395662,4.066486359,7.407322407,15.05452919,7.256212234
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2005,28.59504509,61.81944656,23.39953995,26.99370575,4.497074127,1.937395811,0.817457557,0.731395662,3.673736811,6.806713104,8.90663147,8.011312485
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2006,53.78805923,60.70383453,12.65446472,23.28927231,2.528759718,1.609680653,0.749073505,0.698747337,3.660783291,6.871345043,7.129074574,11.02630615
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2007,7.956096649,18.484869,11.13891697,4.163997173,2.951171398,1.949881673,0.817457557,0.731395662,3.790498972,4.698321819,8.322230339,9.616687775
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2008,34.39783096,60.95214462,42.38660812,16.04223251,2.523686647,2.215076447,0.749073744,0.676042199,2.995158195,5.469902515,6.094035149,9.908863068
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2009,10.76105499,107.1754684,29.2786541,7.427436829,2.944326401,2.15038085,0.749072671,0.676043451,3.097877264,5.796705246,5.625423431,5.654154778
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2010,55.46035004,45.20913696,13.09033203,3.554690361,7.000588894,2.014897823,0.749073267,0.676041603,3.260814905,2.524184704,7.390233517,7.259580612
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2011,32.95360565,60.9163208,24.81130409,15.50996208,7.217000008,1.748942971,0.757439017,0.731395662,3.010107279,2.743291616,4.26485157,9.10828495
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2012,10.21809196,79.61343384,26.53390884,7.864778996,3.350015163,2.549753666,0.84945631,0.77442795,3.72552681,2.558707714,6.01589489,5.951807022
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2013,6.688071728,10.66322422,14.67055988,7.288608551,2.92342329,1.671892643,0.780265391,0.680836797,3.86751914,3.52534771,4.310052872,9.40135479
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2014,4.096543789,25.81408501,31.80168915,19.38752365,3.060245514,1.671629429,0.754976273,0.680836201,3.189396858,2.884690046,4.716777325,3.728988647
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2015,13.50109577,20.12059212,15.66071415,14.33921814,2.432157993,1.628212094,0.74090606,0.67132771,3.097351074,2.653945923,3.358006477,10.69756985
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2016,20.97077179,18.06351471,23.77191925,3.253149986,2.623382568,1.673879266,0.739626229,0.671842992,4.018918991,2.38667345,6.323244095,4.16956234
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2017,14.09497833,36.5798645,20.39309692,7.21818924,2.062849522,1.600352168,0.739625752,0.669260561,2.647717953,7.237364292,7.676423073,5.038833141
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2018,5.246388435,27.03458595,9.3197155,11.52223969,3.280283928,1.622238755,1.812113404,0.699341178,4.520199299,5.090302467,3.303720951,6.145746231
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2019,2.261911869,30.16573715,6.638069153,2.629117966,2.358895779,1.635049224,0.740055323,0.66962254,2.898798943,4.153961182,3.11083293,6.064968586
J.G.H. VAN DER WATH AIRP ,-26.53,18.12,2020,4.331878662,43.05607605,17.19443512,31.11653519,2.212156296,1.644385695,,,,,,
GOBABEB ,-23.567,15.05,1981,2.635047436,1.88503325,5.906462669,0.779353499,0.063339204,0.74768436,0.78019309,1.087284446,0.568675399,0.322822452,2.174909353,1.588844061
GOBABEB ,-23.567,15.05,1982,3.134577751,3.02149272,7.062256813,0.922754288,0.057097845,0.856322169,0.959696591,1.209164262,0.688385606,0.370167524,3.009096622,3.04144907
GOBABEB ,-23.567,15.05,1983,4.821087837,3.072076797,8.432625771,2.544807434,0.057960164,1.122662663,0.922451854,1.21036303,0.654203415,0.361335695,2.669434547,1.972375631
GOBABEB ,-23.567,15.05,1984,3.413197517,3.369266033,12.76216316,1.033200383,0.070362806,0.654889703,0.868002713,1.099074602,0.618103027,0.430495083,2.881817341,1.867899179
GOBABEB ,-23.567,15.05,1985,3.895970106,6.111557961,4.982189178,0.781725109,0.057804763,0.702893853,0.923601389,1.181773901,0.629388094,0.361631602,3.578296661,1.900670052
GOBABEB ,-23.567,15.05,1986,5.590111732,2.931233406,5.672429085,0.891827226,0.058816373,0.735235572,0.921451092,1.210665941,0.648634195,0.35863775,2.874609947,1.908647776
GOBABEB ,-23.567,15.05,1987,3.250582933,4.06313324,6.090614319,4.780107021,0.061106712,0.660421371,0.996522784,1.205999613,0.613385618,0.350016862,3.16733861,1.927226782
GOBABEB ,-23.567,15.05,1988,4.14162302,3.424089193,8.00948143,0.833376944,0.068536431,0.710457206,0.896439254,1.180805564,0.621381342,0.348249406,3.657374382,2.157683134
GOBABEB ,-23.567,15.05,1989,5.687749863,3.133526325,6.251356125,0.942229569,0.078351609,0.688796401,0.919799566,1.205999374,0.614855468,0.349212497,2.572924137,1.95380342
GOBABEB ,-23.567,15.05,1990,5.029468536,4.861860275,9.865490913,0.85994339,0.060958251,0.711000502,0.91980052,1.20600009,0.62138176,0.3855519,2.63505125,2.005071163
GOBABEB ,-23.567,15.05,1991,4.265379429,3.358532429,7.283977032,0.997822702,0.060656279,0.713119984,0.918765664,1.21092701,0.752200007,0.385625422,5.00705719,2.761579037
